arxiv_id,predicted_type,reasoning
2308.09635,regular,"This paper presents a novel neural network method for time series data imputation, not a review of existing methods."
2409.18566,regular,"This paper presents a new hardware-aware tool for optimizing DNN inference on multi-accelerator SoCs, outlining its design, implementation, and evaluation on specific datasets and SoCs."
2402.0854,regular,"The paper presents a comparison of different models for engineering shape optimization, presenting new results and findings, not a review of existing literature."
2311.15341,regular,"This paper presents a novel method for generative modeling of stochastic actions in reinforcement learning, not a review of existing work."
2310.1529,regular,"This paper presents a new method for generating synthetic EHR time series data, not a review of existing research."
2503.23621,regular,The paper presents original research demonstrating the effectiveness of simple feedforward neural networks for time series forecasting.
2506.09016,regular,"This paper presents a new method for training reasoning models, not a review of existing research."
2508.2065,regular,"This paper presents a novel neural operator architecture and training method, not a review or survey of existing work."
2502.05145,regular,"This paper presents a novel algorithm for online bandit problems, not a review or survey of existing literature."
2402.03545,regular,"This paper presents a novel method for addressing label shift in online learning, focusing on feature updates at test-time, not on reviewing existing research."
2212.09641,regular,"The paper presents original research investigating the impact of attention mechanisms on the stability of dynamical systems, not a review of existing literature."
2102.03622,regular,"This paper presents a novel deep semi-supervised learning approach for time series classification, introducing new methods and evaluating their performance on a benchmark dataset."
2409.07786,regular,"This paper presents a novel framework for multi-property molecular optimization, outlining its design, implementation, and evaluation on real-world datasets."
2211.06516,regular,"This paper presents a new method for calibrating risk models used in content moderation, not a review of existing research."
2302.0239,regular,"This paper presents a new method for training large models, not a review of existing research."
2207.02842,regular,"This paper presents original research investigating bias transfer in transfer learning, presenting experimental results and code."
2505.19431,regular,"This paper presents a novel method for training diffusion samplers, not a review of existing research."
2405.0703,regular,"The paper presents a novel approach for predicting tennis match outcomes using machine learning models, not a review of existing research."
2011.14379,regular,"This paper presents a hands-on tutorial on offline reinforcement learning, focusing on practical aspects and experimental validation, rather than a comprehensive review of existing literature."
2010.03095,regular,"The paper presents a novel method for learning causal structures, not a review of existing research."
2501.00658,regular,"This paper presents a new method for addressing limitations of state space models, not a review of existing research."
2410.07508,regular,"The paper presents a novel method for industrial process monitoring, introducing a multi-block autoencoder framework and a weight-based Bayesian fusion approach."
2211.16965,regular,"This paper presents a novel method for federated clustering, not a review of existing research."
2102.10395,regular,This paper presents a novel method for improving out-of-domain generalization by focusing on calibration across multiple domains. It proposes a new approach and demonstrates its effectiveness through experiments.
2207.02404,regular,"This paper presents a novel clustering algorithm, not a review of existing methods."
2111.02508,regular,"This paper presents a novel AutoML system, AlphaD3M, and its evaluation on benchmark datasets, not a review of existing research."
2206.03126,regular,"This paper presents a theoretical analysis of rank collapse in Transformers, proposing solutions and explaining its impact on training. It presents original research findings."
2408.13805,regular,This paper presents a novel method for incorporating prior learning into a specific VAE architecture (Soft-IntroVAE) and demonstrates its effectiveness through experiments.
2207.00678,regular,"This paper presents a novel method for multi-fidelity modeling, not a review of existing work."
2109.00707,regular,"This paper presents a new method for analyzing the features used by different image classification models, which is an original research contribution."
2302.11075,review,"The paper provides a comprehensive review of deep active learning in the presence of label noise, discussing existing approaches, their strengths and weaknesses, and future research directions."
2505.04338,regular,"This paper presents a novel method for learning distributions on submanifolds of Euclidean space, outlining its theoretical foundation and demonstrating its application on specific datasets."
2302.03608,regular,"This paper presents a new algorithm for online reinforcement learning with uncertain episode lengths, not a review of existing work."
2503.0699,regular,"This paper presents a novel self-supervised method for purifying time-evolving graphs, not a review or survey of existing work."
2506.10094,regular,"This paper presents a novel unsupervised deep clustering system for MNIST, outlining its architecture, training process, and evaluation metrics. It does not primarily review existing research."
2211.09741,regular,"This paper presents a new method for 4DVAR inversion, not a review of existing research."
2111.00064,regular,"This paper presents a novel self-supervised learning framework for node feature extraction, not a review of existing research."
2212.03637,review,"The paper reviews and analyzes existing methods for unsupervised anomaly detection in time-series, providing an extensive evaluation of state-of-the-art techniques."
2410.08931,regular,"This paper presents a novel method for generating motion sequences, not a review or survey of existing research."
2311.05317,regular,"This paper presents a novel method for quantizing re-parametrized networks, not a review of existing research."
2412.18847,regular,"The paper presents a novel method for multi-view clustering, not a review or survey of existing work."
2010.07587,regular,"This paper presents a new theoretical framework for understanding depth-width trade-offs in neural networks, proposing a connection between topological entropy and network expressivity. It does not primarily review existing literature."
2102.13636,regular,"This paper presents a novel approach to active learning for feature selection, proposing two utility-based methods and evaluating them on benchmark datasets. It is not a review of existing literature."
2107.06908,regular,"This paper presents original research investigating the limitations of deep generative models for out-of-distribution detection, not a review of existing literature."
2506.03374,regular,"This paper presents a new ML-based approach for soil taxonomy, outlining a pipeline and experimental results, not a review of existing work."
2210.01639,regular,"This paper presents a novel algorithm for secure feature Gaussianization in federated learning, not a review of existing work."
2406.14328,regular,"The paper presents an empirical study investigating energy consumption in ML, focusing on identifying energy-efficient practices. This is an original research paper."
2505.18495,regular,"This paper presents a novel method for discrete diffusion models, outlining its design, training objective, and experimental results."
2301.08974,regular,"The paper presents a new LSTM-based model for soft sensing regression, focusing on experimental results and evaluation metrics."
2310.19287,regular,"The paper presents a novel approach to enhance scalability and reliability in semi-decentralized federated learning, outlining a system architecture, methodologies, and experimental results."
2508.17426,regular,"This paper presents a novel method for generative modeling, introducing a new approach and empirical results."
2404.02108,regular,"This paper presents a novel algorithm for solving a specific problem in MDPs, not a review or survey of existing work."
2301.09042,review,"The paper reviews and characterizes different rule-based explanation methods, providing a framework for understanding their explainability in relation to domain knowledge and probability measures."
2212.07103,regular,"The paper presents a new algorithm for simplifying forest classifiers and regressors, not a review of existing research."
2203.06223,regular,"This paper presents a novel memory augmentation technique, not a review or survey of existing work."
2306.12678,regular,"The paper presents a new method for outlier-robust estimation, not a review of existing literature."
2405.09113,regular,"This paper presents a novel attack method for LLMs, not a review or survey of existing research."
2403.13867,regular,"This paper presents experimental results demonstrating the effectiveness of Capsule Neural Networks for noise stabilization in time series data, not a review of existing research."
2201.03456,regular,"The paper presents a novel algorithm for a graph-based semi-supervised classifier, not a review of existing work."
2310.10462,regular,"The paper presents a novel adaptive neural ranking framework, outlining its architecture, training process, and experimental results."
2010.03135,regular,"This paper presents a novel method for representation learning, not a review of existing research."
2109.05701,review,"The paper reviews various applications of RNNs in different areas, including biometric authentication and anomaly detection, summarizing existing research and methodologies."
2103.02695,regular,This paper presents original research investigating the impact of shift invariance on adversarial robustness in neural networks.
2104.03403,regular,"The paper presents a novel method for analyzing variable importance in predictive models, focusing on incorporating hierarchical correlation structure. This is an original research paper."
2109.07359,regular,"The paper presents a novel architecture for learning neural ODEs, proposing a modular approach to address limitations of existing methods."
2204.0436,regular,"This paper presents a new data augmentation method for ECG prediction, not a review of existing research."
2110.13373,regular,"The paper presents a new method (EnTRPO) for policy optimization in reinforcement learning, not a review of existing research."
2404.10363,review,"The paper provides a comprehensive survey of data-driven fault diagnostic techniques for marine diesel engines, summarizing existing research and advancements."
2106.06848,regular,"This paper presents a new algorithm for multi-armed bandit problems, not a review of existing research."
2507.03153,regular,"This paper presents a novel hybrid CPU-GPU attention mechanism for LLM inference, not a review or survey of existing work."
2012.00477,regular,"The paper presents a new method for feature rescaling, not a review of existing research."
2401.09261,regular,"This paper presents a novel framework for long-range time series forecasting, outlining its architecture and experimental results."
2105.08093,regular,"This paper presents a new algorithm for multiclass classification, not a review or survey of existing work."
2407.01804,regular,"The paper presents a novel active learning approach (DCoM) and evaluates its performance on various datasets, demonstrating new methods and results."
2508.11936,regular,"This paper presents a novel method for OOD detector selection, not a review of existing research."
2310.20082,regular,"This paper presents a novel method for learning subgraph selection policies, not a review or survey of existing work."
2110.01395,regular,"The paper presents a new model for predicting IPL match outcomes using machine learning, not a review of existing research."
2406.01899,regular,"This paper presents a novel method for graph data scaling, outlining its architecture and demonstrating its effectiveness through experiments."
2106.00589,regular,"This paper presents a new reinforcement learning algorithm for session-based recommendation, not a review or survey of existing work."
2504.08445,review,"The paper systematically evaluates different approaches to gene-disease association prediction, comparing link prediction and node-pair classification methods. It also analyzes the impact of semantic richness and provides a framework for comparison."
2407.14008,regular,"This paper presents a novel method for understanding the Indirect Object Identification circuit in the Mamba architecture, which is an original research paper."
2504.14732,regular,"This paper presents a new algorithm for learning from multi-level human feedback, not a review of existing research."
2109.03818,regular,"This paper presents a novel algorithm for online learning in a cooperative multi-player multi-armed bandit setting, not a review of existing work."
2010.14907,regular,"This paper presents a new online feature selection algorithm, not a review of existing literature."
2505.22785,regular,"This paper presents a novel approach to analyzing neural models, proposing a new representation and methods for analyzing their dynamics and properties. It is not a review or survey of existing research."
2404.1271,regular,"This paper presents a novel framework for Personalized Federated Continual Learning called FedMeS, outlining its design, theoretical analysis, and experimental evaluation."
2302.0565,regular,"The paper presents a novel method for hierarchical time series forecasting, outlining its architecture and experimental results."
2203.14883,regular,"This paper presents a new framework for training Temporal Graph Neural Networks, outlining its components, training methods, and evaluation on large datasets."
2411.17625,regular,"This paper presents a novel data-driven approach for predicting lithium metal battery performance, not a review of existing research."
2102.03482,regular,"The paper presents a new method for improving robustness of models against noisy labels, not a review of existing research."
2505.21444,regular,This paper presents original research investigating the effectiveness of self-training in large reasoning models using reinforcement learning. It explores the limitations and potential solutions for this approach.
2511.16148,regular,"This paper presents a new method for enhancing nuclear reactor core simulation, not a review of existing research."
2407.18676,regular,"This paper presents a new algorithm for fine-tuning LLMs, not a review of existing research."
2202.05155,regular,"This paper presents a novel method for predicting censored event time, not a review of existing research."
2512.05291,regular,"This paper presents a novel algorithm for reinforcement learning, not a review or survey of existing work."
2212.04764,regular,"This paper presents a novel method for assessing infant pain, not a review of existing research."
2408.00527,regular,"This paper presents a novel method for brain age prediction, not a review of existing research."
2209.14548,regular,"The paper presents a novel method for offline reinforcement learning, not a review of existing research."
2112.02736,regular,"The paper presents a novel deep learning model for traffic forecasting, not a review or survey of existing methods."
2510.20637,review,"The paper provides an overview of task-oriented autonomous communications with LLMs/LMMs, focusing on multimodal sensing integration, adaptive reconfiguration, and prompt/fine-tuning strategies. It also presents case studies to demonstrate the framework's effectiveness."
2204.02972,regular,The paper presents a novel multi-task nonparallel support vector machine algorithm and evaluates its performance on various datasets.
2209.11604,regular,"This paper presents a novel calibration method called Neural Clamping, introducing a new technique for neural network calibration."
2208.09151,regular,"This paper presents a novel SSD-based GNN training system, outlining its design, implementation, and evaluation. It is not a review or survey of existing GNN research."
2406.04088,regular,"This paper presents a new algorithm for model-based offline reinforcement learning, not a review of existing work."
2408.13696,regular,"The paper presents a novel training method for DNNs, not a review of existing research."
2407.00708,regular,"The paper presents a novel method for heterogeneous graph contrastive learning, not a review of existing research."
2512.09059,regular,"This paper presents a new diffusion-based deep learning framework for precipitation forecasting, not a review of existing research."
2304.1293,regular,"This paper presents a novel algorithm for personalized Federated Learning, not a review of existing research."
2010.12135,regular,"The paper presents a novel method for learning graph geometry, not a review of existing work."
2508.09888,regular,The paper presents original research comparing the performance of modern neural networks with classical machine learning algorithms for field-scale soil mapping.
