arxiv_id,predicted_type,reasoning
2503.02457,regular,"This paper presents a study investigating the challenges of affect control in LLMs, focusing on their emotional expressiveness. It presents new findings and methodologies, not a review of existing literature."
2110.10482,regular,"The paper presents a novel method for improving the effectiveness of gray-box graph adversarial attacks, not a review of existing research."
2409.16779,regular,"The paper presents a new educational chatbot designed to assist students with science MCQs, outlining its development, evaluation, and limitations."
2509.26399,regular,"The paper presents a novel method for aggregation in Federated Low-Rank Adaptation, not a review or survey of existing work."
2510.08207,regular,"This paper presents a novel algorithm for causal structure learning, outlining its methodology and experimental results. It is not a review or survey of existing research."
2503.15726,regular,"This paper presents a novel RL environment with LLM-controlled adversaries, focusing on its design and implementation, rather than reviewing existing research."
2011.13277,regular,"The paper presents a novel action model learning algorithm, not a review or survey of existing work."
2208.1339,regular,"The paper presents a new set of Bayesian frameworks for multi-criteria decision-making problems, introducing novel methods and experimental validation."
2511.1478,regular,"This paper presents a new framework for studying belief formation in multi-agent systems, outlining its functionality and applying it to a specific case study. It does not primarily review existing research."
2509.21651,regular,This paper presents original research on a new method for evaluating the safety of AI systems in the physical world.
2403.17873,review,The paper reviews the potential social misattributions of large language models and proposes an extension to the social transparency framework to address these issues. It does not present new methods or results.
2202.05511,regular,"The paper presents a new inference system (system W) and demonstrates its properties, not a review of existing work."
2205.14229,regular,"This paper presents a novel approach to automated theorem proving, outlining a new method and experimental results."
2410.1846,review,"The paper reviews the challenges and obstacles of implementing LLMs in healthcare, rather than presenting new research or findings."
2508.2172,regular,"This paper presents a novel method for scientific poster generation, not a review or survey of existing work."
2305.11537,review,"The paper provides a comprehensive overview of Trustworthy Federated Learning, exploring existing solutions and challenges."
2510.21398,regular,"This paper presents a new method for improving the performance of LLMs, not a review of existing research."
2112.08589,regular,"The paper presents a novel knowledge graph embedding model, not a review or survey of existing work."
2407.21344,regular,"This paper presents a novel approach for modeling emotion ambiguity using dynamical neural ODEs, not a review of existing literature."
2205.11215,regular,"This paper presents a new library for evaluating information extraction models on visually rich documents, not a review of existing research."
2211.05457,regular,"The paper presents a novel model for cross-domain aspect-based sentiment analysis, not a review or survey of existing work."
2504.04366,regular,"This paper presents a novel hierarchical reinforcement learning framework for solving the Sokoban puzzle, not a review of existing research."
2402.16505,review,"The paper reviews the Tulving Test and its relevance to LLMs' memory capabilities, rather than presenting new research or findings."
2309.09898,regular,"This paper presents a novel method for constructing concept hierarchies using language models, not a review or survey of existing work."
2509.19456,review,"The paper reviews the role of user simulation in AGI development, exploring its benefits and challenges, rather than presenting original research."
2510.25724,regular,"This paper presents a novel knowledge graph called BambooKG and demonstrates its effectiveness through experiments, not a review of existing work."
2305.15318,regular,"This paper presents a novel method for processing 'What if' queries on probabilistic logic programs, introducing a new approach to counterfactual reasoning."
2505.23473,regular,"This paper presents a novel method for generating pseudo-malicious instructions to evaluate and mitigate LLM over-refusal, not a review of existing research."
2507.18337,regular,"The paper describes the development and evaluation of a term rewriting system for marking physics exams, presenting a novel method for automated assessment."
2408.17233,regular,"The paper presents a new methodological framework for RaaS, outlining an optimization model and conducting a case study. It focuses on developing a new approach, not reviewing existing literature."
2511.17056,regular,"This paper presents a novel method for patient-level information extraction, not a review or survey of existing research."
2505.08343,regular,"The paper presents a novel framework for decision-making under abnormal conditions, outlining a new method and experimental evaluation."
2110.15214,regular,"The paper presents a new approach to conditional inference within ACT-R, focusing on activation functions and their role in reasoning, rather than reviewing existing work."
2506.06284,regular,"The paper presents a novel framework for representing unreal entities, proposing a new approach to modeling non-existent entities rather than relying on traditional methods."
2502.12054,regular,"This paper presents a benchmark for evaluating physics-based reasoning in large language models, not a review or survey of existing research."
2508.121,regular,"The paper presents a new framework for reasoning in interactive scenarios, outlining its design and evaluation with experimental results."
2208.0659,regular,"This paper presents a new argumentative option for viewing the ontological sextet, which is a technical proposal for achieving human-level AI, not a review of existing research."
2509.23465,regular,"This paper presents a novel framework for solving the Traveling Salesman Problem using a vision language model, not a review of existing research."
2207.01257,regular,"This paper presents a new optimization model for scheduling observations on an active-imaging satellite, not a review of existing work."
2510.09244,review,"The paper reviews the architecture and implementation methods of agents powered by LLMs, focusing on their capabilities and limitations."
2312.16127,regular,"This paper presents a novel methodology for integrating LLMs with SAP, outlining a research approach and demonstrating its effectiveness through experiments."
2511.19669,regular,"This paper presents a novel framework for AMS design optimization, outlining its architecture and demonstrating its performance through experiments."
2302.038,regular,"The paper presents a new framework for multi-agent learning and compares different planning approaches, not a review of existing research."
2108.05123,regular,"This paper presents a novel framework for multimodal abstractive summarization, outlining its design, training process, and experimental results."
2509.2537,regular,"This paper presents a new debugging framework for LLM agents, outlining a taxonomy of failure modes and a debugging method to address them. It focuses on a novel approach to agent development, not a review of existing research."
2510.26905,review,The paper reviews the challenges of AI reasoning in autonomous systems and proposes a new concept called Cognition Envelopes for addressing these challenges.
2503.06395,regular,"This paper presents a novel method for discovering causal relationships in urban elements, not a review of existing research."
2510.14301,regular,"This paper presents a novel framework for preserving safety alignment in LLMs, outlining its components and demonstrating its effectiveness through experiments."
2404.10416,regular,"This paper presents a novel method for multi-document scientific summarization, introducing a new framework and evaluation methodology."
2105.12908,regular,"This paper presents a novel method for encoding acyclicity and reachability constraints, not a review of existing research."
2503.16348,regular,"This paper presents a philosophical exploration of consciousness in the context of disembodied AI, not a review of existing research."
2510.01427,regular,"This paper presents a novel framework for knowledge mining, introducing Falconer, a system that combines LLMs and proxy models. It describes the system's architecture, training process, and evaluation, making it an original research paper."
2511.16205,regular,"This paper presents a new benchmark (ChemO) and a multi-agent system (ChemLabs) for chemical reasoning, not a review of existing research."
2112.02513,regular,"The paper presents a new approach for intention recognition in multiple agents, outlining a novel method and experimental results."
2106.07211,regular,The paper presents a novel differentiable neural architecture search method with a growing mechanism and a two-input backbone architecture. It focuses on experimental results and comparisons with existing methods.
2406.13117,review,"The paper reviews the use of digital twins in predictive maintenance, synthesizing existing research and outlining future directions."
2508.04037,regular,"This paper presents a novel self-evolution agent for computer use, outlining its design, training methods, and experimental results."
2209.09618,regular,"The paper presents a new model for industrial automation, not a review of existing research."
2209.0239,regular,"The paper presents a new model for knowledge graph completion, not a review of existing research."
2505.12346,regular,"This paper presents a novel method for uncertainty-aware policy optimization in LLMs, not a review of existing research."
2310.16581,regular,"This paper presents a new algorithm and system for game playing, not a review of existing research."
2405.15907,regular,"This paper presents a novel framework for user-aligned POMDPs, proposing new algorithms and theoretical analysis, not a review of existing work."
2210.10903,regular,"The paper presents original research on machine learning methods for news classification in Bangla, including the development of a new dataset and evaluation of different algorithms."
2510.01363,regular,"This paper presents a novel retrieval-augmented framework for clinical decision support, outlining its technical components and conducting preliminary evaluations. It does not primarily review existing research."
2201.13169,regular,"This paper presents a formal definition of causal explanations and their application to action-guiding explanations in the context of Explainable Artificial Intelligence (XAI). It introduces new concepts and analyses their implications, making it original research."
2508.19432,regular,"This paper presents original research investigating the truthfulness of quantized LLMs, evaluating their performance on logical reasoning, common sense, and imitative falsehoods."
